Date;ValueDate;Reference;Description;Debit;Credit;Balance;Amount;Direction;Account;Journal;Analytic
2026-09-02;;;REGLEMENT CLIENT ALPHA;0.00;125000.00;;125000.00;C;512000;BQ;
2026-09-03;;;FOURNISSEUR INFORMATIQUE;18500.00;0.00;;-18500.00;D;512000;BQ;
2026-09-04;;;FOURNISSEUR BUREAUTIQUE;685450.00;0.00;;-685450.00;D;512000;BQ;
2026-09-05;;;REGLEMENT CLIENT DELTA;0.00;320000.00;;320000.00;C;512000;BQ;
2026-09-06;;;TVA A PAYER;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-09-07;;;LOYER SIEGE;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-09-08;;;REGLEMENT CLIENT GAMMA;0.00;180000.00;;180000.00;C;512000;BQ;
2026-09-09;;;ASSURANCE;685450.00;0.00;;-685450.00;D;512000;BQ;
2026-09-10;;;FRAIS BANCAIRES;27500.00;0.00;;-27500.00;D;512000;BQ;
2026-09-11;;;REGLEMENT CLIENT BETA;0.00;125000.00;;125000.00;C;512000;BQ;
2026-09-12;;;VIR SALAIRES;685450.00;0.00;;-685450.00;D;512000;BQ;
2026-09-13;;;FOURNISSEUR INFORMATIQUE;126800.00;0.00;;-126800.00;D;512000;BQ;
2026-09-14;;;REGLEMENT CLIENT ALPHA;0.00;85000.00;;85000.00;C;512000;BQ;
2026-09-15;;;CNSS;18500.00;0.00;;-18500.00;D;512000;BQ;
2026-09-16;;;TVA A PAYER;27500.00;0.00;;-27500.00;D;512000;BQ;
2026-09-17;;;REGLEMENT CLIENT DELTA;0.00;245000.00;;245000.00;C;512000;BQ;
2026-09-18;;;ELECTRICITE ONEE;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-09-19;;;ASSURANCE;285600.00;0.00;;-285600.00;D;512000;BQ;
2026-09-20;;;REGLEMENT CLIENT GAMMA;0.00;85000.00;;85000.00;C;512000;BQ;
2026-09-21;;;FOURNISSEUR LOGISTIQUE;285600.00;0.00;;-285600.00;D;512000;BQ;
2026-09-22;;;VIR SALAIRES;685450.00;0.00;;-685450.00;D;512000;BQ;
2026-09-23;;;REGLEMENT CLIENT BETA;0.00;450000.00;;450000.00;C;512000;BQ;
2026-09-24;;;FOURNISSEUR BUREAUTIQUE;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-09-25;;;CNSS;175300.00;0.00;;-175300.00;D;512000;BQ;
2026-09-26;;;REGLEMENT CLIENT ALPHA;0.00;320000.00;;320000.00;C;512000;BQ;
2026-09-27;;;LOYER SIEGE;18500.00;0.00;;-18500.00;D;512000;BQ;
2026-09-28;;;ELECTRICITE ONEE;32400.00;0.00;;-32400.00;D;512000;BQ;
2026-09-29;;;REGLEMENT CLIENT DELTA;0.00;450000.00;;450000.00;C;512000;BQ;
2026-09-30;;;FRAIS BANCAIRES;84500.00;0.00;;-84500.00;D;512000;BQ;
2026-10-01;;;FOURNISSEUR LOGISTIQUE;48500.00;0.00;;-48500.00;D;512000;BQ;
2026-10-02;;;REGLEMENT CLIENT GAMMA;0.00;180000.00;;180000.00;C;512000;BQ;
2026-10-03;;;FOURNISSEUR INFORMATIQUE;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-10-04;;;FOURNISSEUR BUREAUTIQUE;84500.00;0.00;;-84500.00;D;512000;BQ;
2026-10-05;;;REGLEMENT CLIENT BETA;0.00;125000.00;;125000.00;C;512000;BQ;
2026-10-06;;;TVA A PAYER;27500.00;0.00;;-27500.00;D;512000;BQ;
2026-10-07;;;LOYER SIEGE;126800.00;0.00;;-126800.00;D;512000;BQ;
2026-10-08;;;REGLEMENT CLIENT ALPHA;0.00;125000.00;;125000.00;C;512000;BQ;
2026-10-09;;;ASSURANCE;84500.00;0.00;;-84500.00;D;512000;BQ;
2026-10-10;;;FRAIS BANCAIRES;84500.00;0.00;;-84500.00;D;512000;BQ;
2026-10-11;;;REGLEMENT CLIENT DELTA;0.00;320000.00;;320000.00;C;512000;BQ;
2026-10-12;;;VIR SALAIRES;685450.00;0.00;;-685450.00;D;512000;BQ;
2026-10-13;;;FOURNISSEUR INFORMATIQUE;685450.00;0.00;;-685450.00;D;512000;BQ;
2026-10-14;;;REGLEMENT CLIENT GAMMA;0.00;640000.00;;640000.00;C;512000;BQ;
2026-10-15;;;CNSS;285600.00;0.00;;-285600.00;D;512000;BQ;
2026-10-16;;;TVA A PAYER;27500.00;0.00;;-27500.00;D;512000;BQ;
2026-10-17;;;REGLEMENT CLIENT BETA;0.00;450000.00;;450000.00;C;512000;BQ;
2026-10-18;;;ELECTRICITE ONEE;27500.00;0.00;;-27500.00;D;512000;BQ;
2026-10-19;;;ASSURANCE;285600.00;0.00;;-285600.00;D;512000;BQ;
