Date;Journal;Compte;Libellé;Débit;Crédit;Référence
02/09/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;125000,00;
03/09/2026;BQ;512000;FOURNISSEUR INFORMATIQUE;18500,00;0,00;
04/09/2026;BQ;512000;FOURNISSEUR BUREAUTIQUE;685450,00;0,00;
05/09/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;320000,00;
06/09/2026;BQ;512000;TVA A PAYER;45000,00;0,00;
07/09/2026;BQ;512000;LOYER SIEGE;45000,00;0,00;
08/09/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;180000,00;
09/09/2026;BQ;512000;ASSURANCE;685450,00;0,00;
10/09/2026;BQ;512000;FRAIS BANCAIRES;27500,00;0,00;
11/09/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;125000,00;
12/09/2026;BQ;512000;VIR SALAIRES;685450,00;0,00;
13/09/2026;BQ;512000;FOURNISSEUR INFORMATIQUE;126800,00;0,00;
14/09/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;85000,00;
15/09/2026;BQ;512000;CNSS;18500,00;0,00;
16/09/2026;BQ;512000;TVA A PAYER;27500,00;0,00;
17/09/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;245000,00;
18/09/2026;BQ;512000;ELECTRICITE ONEE;45000,00;0,00;
19/09/2026;BQ;512000;ASSURANCE;285600,00;0,00;
20/09/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;85000,00;
21/09/2026;BQ;512000;FOURNISSEUR LOGISTIQUE;285600,00;0,00;
22/09/2026;BQ;512000;VIR SALAIRES;685450,00;0,00;
23/09/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;450000,00;
24/09/2026;BQ;512000;FOURNISSEUR BUREAUTIQUE;45000,00;0,00;
25/09/2026;BQ;512000;CNSS;175300,00;0,00;
26/09/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;320000,00;
27/09/2026;BQ;512000;LOYER SIEGE;18500,00;0,00;
28/09/2026;BQ;512000;ELECTRICITE ONEE;32400,00;0,00;
29/09/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;450000,00;
30/09/2026;BQ;512000;FRAIS BANCAIRES;84500,00;0,00;
01/10/2026;BQ;512000;FOURNISSEUR LOGISTIQUE;48500,00;0,00;
02/10/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;180000,00;
03/10/2026;BQ;512000;FOURNISSEUR INFORMATIQUE;45000,00;0,00;
04/10/2026;BQ;512000;FOURNISSEUR BUREAUTIQUE;84500,00;0,00;
05/10/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;125000,00;
06/10/2026;BQ;512000;TVA A PAYER;27500,00;0,00;
07/10/2026;BQ;512000;LOYER SIEGE;126800,00;0,00;
08/10/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;125000,00;
09/10/2026;BQ;512000;ASSURANCE;84500,00;0,00;
10/10/2026;BQ;512000;FRAIS BANCAIRES;84500,00;0,00;
11/10/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;320000,00;
12/10/2026;BQ;512000;VIR SALAIRES;685450,00;0,00;
13/10/2026;BQ;512000;FOURNISSEUR INFORMATIQUE;685450,00;0,00;
14/10/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;640000,00;
15/10/2026;BQ;512000;CNSS;285600,00;0,00;
16/10/2026;BQ;512000;TVA A PAYER;27500,00;0,00;
17/10/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;450000,00;
18/10/2026;BQ;512000;ELECTRICITE ONEE;27500,00;0,00;
19/10/2026;BQ;512000;ASSURANCE;285600,00;0,00;
