Date;Journal;Compte;Libellé;Débit;Crédit;Référence
02/10/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;320000,00;
03/10/2026;BQ;512000;FOURNISSEUR INFORMATIQUE;425800,00;0,00;
04/10/2026;BQ;512000;FOURNISSEUR BUREAUTIQUE;310450,00;0,00;
05/10/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;380000,00;
06/10/2026;BQ;512000;TVA A PAYER;310450,00;0,00;
07/10/2026;BQ;512000;LOYER SIEGE;45000,00;0,00;
08/10/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;125000,00;
09/10/2026;BQ;512000;ASSURANCE;18500,00;0,00;
10/10/2026;BQ;512000;FRAIS BANCAIRES;425800,00;0,00;
11/10/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;245000,00;
12/10/2026;BQ;512000;VIR SALAIRES;1420500,00;0,00;
13/10/2026;BQ;512000;FOURNISSEUR INFORMATIQUE;27500,00;0,00;
14/10/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;245000,00;
15/10/2026;BQ;512000;CNSS;27500,00;0,00;
16/10/2026;BQ;512000;TVA A PAYER;126800,00;0,00;
17/10/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;320000,00;
18/10/2026;BQ;512000;ELECTRICITE ONEE;175300,00;0,00;
19/10/2026;BQ;512000;ASSURANCE;425800,00;0,00;
20/10/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;380000,00;
21/10/2026;BQ;512000;FOURNISSEUR LOGISTIQUE;32400,00;0,00;
22/10/2026;BQ;512000;VIR SALAIRES;1420500,00;0,00;
23/10/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;380000,00;
24/10/2026;BQ;512000;FOURNISSEUR BUREAUTIQUE;45000,00;0,00;
25/10/2026;BQ;512000;CNSS;425800,00;0,00;
26/10/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;320000,00;
27/10/2026;BQ;512000;LOYER SIEGE;685450,00;0,00;
28/10/2026;BQ;512000;ELECTRICITE ONEE;425800,00;0,00;
29/10/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;125000,00;
30/10/2026;BQ;512000;FRAIS BANCAIRES;310450,00;0,00;
31/10/2026;BQ;512000;FOURNISSEUR LOGISTIQUE;425800,00;0,00;
01/11/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;180000,00;
02/11/2026;BQ;512000;FOURNISSEUR INFORMATIQUE;285600,00;0,00;
03/11/2026;BQ;512000;FOURNISSEUR BUREAUTIQUE;685450,00;0,00;
04/11/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;245000,00;
05/11/2026;BQ;512000;TVA A PAYER;32400,00;0,00;
06/11/2026;BQ;512000;LOYER SIEGE;175300,00;0,00;
07/11/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;450000,00;
08/11/2026;BQ;512000;ASSURANCE;48500,00;0,00;
09/11/2026;BQ;512000;FRAIS BANCAIRES;425800,00;0,00;
10/11/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;245000,00;
11/11/2026;BQ;512000;VIR SALAIRES;1420500,00;0,00;
12/11/2026;BQ;512000;FOURNISSEUR INFORMATIQUE;84500,00;0,00;
13/11/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;85000,00;
14/11/2026;BQ;512000;CNSS;45000,00;0,00;
15/11/2026;BQ;512000;TVA A PAYER;18500,00;0,00;
16/11/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;380000,00;
17/11/2026;BQ;512000;ELECTRICITE ONEE;126800,00;0,00;
18/11/2026;BQ;512000;ASSURANCE;48500,00;0,00;
19/11/2026;BQ;512000;REGLEMENT CLIENT ALPHA;0,00;125000,00;
20/11/2026;BQ;512000;FOURNISSEUR LOGISTIQUE;45000,00;0,00;
21/11/2026;BQ;512000;VIR SALAIRES;1420500,00;0,00;
22/11/2026;BQ;512000;REGLEMENT CLIENT DELTA;0,00;380000,00;
23/11/2026;BQ;512000;FOURNISSEUR BUREAUTIQUE;45000,00;0,00;
24/11/2026;BQ;512000;CNSS;425800,00;0,00;
25/11/2026;BQ;512000;REGLEMENT CLIENT GAMMA;0,00;640000,00;
26/11/2026;BQ;512000;LOYER SIEGE;126800,00;0,00;
27/11/2026;BQ;512000;ELECTRICITE ONEE;425800,00;0,00;
28/11/2026;BQ;512000;REGLEMENT CLIENT BETA;0,00;640000,00;
29/11/2026;BQ;512000;FRAIS BANCAIRES;32400,00;0,00;
30/11/2026;BQ;512000;FOURNISSEUR LOGISTIQUE;48500,00;0,00;
