Date;ValueDate;Reference;Description;Debit;Credit;Balance;Amount;Direction;Account;Journal;Analytic
2026-10-02;;;REGLEMENT CLIENT ALPHA;0.00;320000.00;;320000.00;C;512000;BQ;
2026-10-03;;;FOURNISSEUR INFORMATIQUE;425800.00;0.00;;-425800.00;D;512000;BQ;
2026-10-04;;;FOURNISSEUR BUREAUTIQUE;310450.00;0.00;;-310450.00;D;512000;BQ;
2026-10-05;;;REGLEMENT CLIENT DELTA;0.00;380000.00;;380000.00;C;512000;BQ;
2026-10-06;;;TVA A PAYER;310450.00;0.00;;-310450.00;D;512000;BQ;
2026-10-07;;;LOYER SIEGE;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-10-08;;;REGLEMENT CLIENT GAMMA;0.00;125000.00;;125000.00;C;512000;BQ;
2026-10-09;;;ASSURANCE;18500.00;0.00;;-18500.00;D;512000;BQ;
2026-10-10;;;FRAIS BANCAIRES;425800.00;0.00;;-425800.00;D;512000;BQ;
2026-10-11;;;REGLEMENT CLIENT BETA;0.00;245000.00;;245000.00;C;512000;BQ;
2026-10-12;;;VIR SALAIRES;1420500.00;0.00;;-1420500.00;D;512000;BQ;
2026-10-13;;;FOURNISSEUR INFORMATIQUE;27500.00;0.00;;-27500.00;D;512000;BQ;
2026-10-14;;;REGLEMENT CLIENT ALPHA;0.00;245000.00;;245000.00;C;512000;BQ;
2026-10-15;;;CNSS;27500.00;0.00;;-27500.00;D;512000;BQ;
2026-10-16;;;TVA A PAYER;126800.00;0.00;;-126800.00;D;512000;BQ;
2026-10-17;;;REGLEMENT CLIENT DELTA;0.00;320000.00;;320000.00;C;512000;BQ;
2026-10-18;;;ELECTRICITE ONEE;175300.00;0.00;;-175300.00;D;512000;BQ;
2026-10-19;;;ASSURANCE;425800.00;0.00;;-425800.00;D;512000;BQ;
2026-10-20;;;REGLEMENT CLIENT GAMMA;0.00;380000.00;;380000.00;C;512000;BQ;
2026-10-21;;;FOURNISSEUR LOGISTIQUE;32400.00;0.00;;-32400.00;D;512000;BQ;
2026-10-22;;;VIR SALAIRES;1420500.00;0.00;;-1420500.00;D;512000;BQ;
2026-10-23;;;REGLEMENT CLIENT BETA;0.00;380000.00;;380000.00;C;512000;BQ;
2026-10-24;;;FOURNISSEUR BUREAUTIQUE;45000.00;0.00;;-45000.00;D;512000;BQ;
2026-10-25;;;CNSS;425800.00;0.00;;-425800.00;D;512000;BQ;
2026-10-26;;;REGLEMENT CLIENT ALPHA;0.00;320000.00;;320000.00;C;512000;BQ;
2026-10-27;;;LOYER SIEGE;685450.00;0.00;;-685450.00;D;512000;BQ;
2026-10-28;;;ELECTRICITE ONEE;425800.00;0.00;;-425800.00;D;512000;BQ;
2026-10-29;;;REGLEMENT CLIENT DELTA;0.00;125000.00;;125000.00;C;512000;BQ;
2026-10-30;;;FRAIS BANCAIRES;310450.00;0.00;;-310450.00;D;512000;BQ;
2026-10-31;;;FOURNISSEUR LOGISTIQUE;425800.00;0.00;;-425800.00;D;512000;BQ;
2026-11-01;;;REGLEMENT CLIENT GAMMA;0.00;180000.00;;180000.00;C;512000;BQ;
2026-11-02;;;FOURNISSEUR INFORMATIQUE;285600.00;0.00;;-285600.00;D;512000;BQ;
2026-11-03;;;FOURNISSEUR BUREAUTIQUE;685450.00;0.00;;-685450.00;D;512000;BQ;
2026-11-04;;;REGLEMENT CLIENT BETA;0.00;245000.00;;245000.00;C;512000;BQ;
2026-11-05;;;TVA A PAYER;32400.00;0.00;;-32400.00;D;512000;BQ;
2026-11-06;;;LOYER SIEGE;175300.00;0.00;;-175300.00;D;512000;BQ;
2026-11-07;;;REGLEMENT CLIENT ALPHA;0.00;450000.00;;450000.00;C;512000;BQ;
2026-11-08;;;ASSURANCE;48500.00;0.00;;-48500.00;D;512000;BQ;
2026-11-09;;;FRAIS BANCAIRES;425800.00;0.00;;-425800.00;D;512000;BQ;
